step,train_loss,val_loss,lr
0,7.5445,,3.00e-06
10,5.7611,,3.30e-05
20,4.8495,,6.30e-05
30,4.4919,,9.30e-05
40,4.1856,,1.23e-04
50,3.9371,,1.53e-04
60,3.7001,,1.83e-04
70,3.6365,,2.13e-04
80,3.5581,,2.43e-04
90,3.3373,,2.73e-04
100,3.3020,,3.00e-04
110,3.2328,,3.00e-04
120,3.1512,,3.00e-04
130,3.1868,,3.00e-04
140,3.1515,,3.00e-04
150,3.0674,,3.00e-04
160,3.0741,,2.99e-04
170,3.0617,,2.99e-04
180,3.0304,,2.99e-04
190,2.9931,,2.99e-04
200,2.9781,,2.98e-04
200,,2.9675,
210,2.9749,,2.98e-04
220,2.9187,,2.97e-04
230,2.9880,,2.97e-04
240,2.9975,,2.96e-04
250,2.9105,,2.96e-04
260,2.8846,,2.95e-04
270,2.8519,,2.95e-04
280,2.8564,,2.94e-04
290,2.8455,,2.93e-04
300,2.7893,,2.93e-04
310,2.8293,,2.92e-04
320,2.7940,,2.91e-04
330,2.7706,,2.90e-04
340,2.7981,,2.90e-04
350,2.7723,,2.89e-04
360,2.7793,,2.88e-04
370,2.8158,,2.87e-04
380,2.7268,,2.86e-04
390,2.6818,,2.85e-04
400,2.6575,,2.84e-04
400,,2.7001,
410,2.6409,,2.83e-04
420,2.6289,,2.82e-04
430,2.6190,,2.80e-04
440,2.6668,,2.79e-04
450,2.6407,,2.78e-04
460,2.5089,,2.77e-04
470,2.4825,,2.76e-04
480,2.5267,,2.74e-04
490,2.4307,,2.73e-04
500,2.4482,,2.72e-04
510,2.4607,,2.70e-04
520,2.3737,,2.69e-04
530,2.4260,,2.67e-04
540,2.3367,,2.66e-04
550,2.3305,,2.64e-04
560,2.3446,,2.63e-04
570,2.3731,,2.61e-04
580,2.3488,,2.60e-04
590,2.2875,,2.58e-04
600,2.2998,,2.56e-04
600,,2.3445,
610,2.2753,,2.55e-04
620,2.3594,,2.53e-04
630,2.2912,,2.51e-04
640,2.2050,,2.50e-04
650,2.2164,,2.48e-04
660,2.2869,,2.46e-04
670,2.2649,,2.44e-04
680,2.3654,,2.43e-04
690,2.3065,,2.41e-04
700,2.2061,,2.39e-04
710,2.1723,,2.37e-04
720,2.1201,,2.35e-04
730,2.1493,,2.33e-04
740,2.1389,,2.31e-04
750,2.1925,,2.29e-04
760,2.1799,,2.27e-04
770,2.1448,,2.25e-04
780,2.1417,,2.23e-04
790,2.1765,,2.21e-04
800,2.0623,,2.19e-04
800,,2.1334,
810,2.1634,,2.17e-04
820,2.1562,,2.15e-04
830,2.1030,,2.13e-04
840,2.0921,,2.11e-04
850,2.0448,,2.09e-04
860,2.0690,,2.07e-04
870,2.0788,,2.05e-04
880,2.0742,,2.02e-04
890,2.0813,,2.00e-04
900,2.0428,,1.98e-04
910,2.0482,,1.96e-04
920,2.1320,,1.94e-04
930,2.1223,,1.92e-04
940,2.0604,,1.89e-04
950,2.0926,,1.87e-04
960,1.9636,,1.85e-04
970,1.9834,,1.83e-04
980,2.0507,,1.81e-04
990,1.9958,,1.78e-04
1000,2.0144,,1.76e-04
1000,,2.0020,
1010,1.9894,,1.74e-04
1020,2.0945,,1.72e-04
1030,1.9670,,1.69e-04
1040,1.9630,,1.67e-04
1050,1.9536,,1.65e-04
1060,2.0069,,1.63e-04
1070,1.9997,,1.61e-04
1080,1.9732,,1.58e-04
1090,2.0215,,1.56e-04
1100,2.0579,,1.54e-04
1110,1.8866,,1.52e-04
1120,2.0496,,1.49e-04
1130,2.0037,,1.47e-04
1140,1.9481,,1.45e-04
1150,1.9440,,1.43e-04
1160,1.9148,,1.41e-04
1170,1.8888,,1.38e-04
1180,1.9558,,1.36e-04
1190,1.9190,,1.34e-04
1200,1.9473,,1.32e-04
1200,,1.8845,
1210,1.9139,,1.30e-04
1220,1.9883,,1.28e-04
1230,1.8769,,1.25e-04
1240,2.0185,,1.23e-04
1250,1.7719,,1.21e-04
1260,1.9256,,1.19e-04
1270,1.9171,,1.17e-04
1280,1.9486,,1.15e-04
1290,1.9317,,1.13e-04
1300,1.9023,,1.11e-04
1310,1.8709,,1.09e-04
1320,1.8608,,1.07e-04
1330,1.8622,,1.05e-04
1340,1.9268,,1.03e-04
1350,1.8311,,1.01e-04
1360,1.8318,,9.88e-05
1370,1.7832,,9.69e-05
1380,1.9025,,9.49e-05
1390,1.8842,,9.30e-05
1400,1.8199,,9.12e-05
1400,,1.8368,
1410,1.8865,,8.93e-05
1420,1.8725,,8.75e-05
1430,1.8337,,8.56e-05
1440,1.8632,,8.39e-05
1450,1.9426,,8.21e-05
1460,1.7904,,8.03e-05
1470,1.8359,,7.86e-05
1480,1.9182,,7.69e-05
1490,1.8386,,7.52e-05
1500,1.9583,,7.36e-05
1510,1.8172,,7.19e-05
