step,train_loss,val_loss,lr
0,,9.656510,
0,9.689075,,3.000000e-06
10,6.102821,,3.300000e-05
20,5.610850,,6.300000e-05
30,4.978619,,9.300000e-05
40,4.597683,,1.230000e-04
50,4.245075,,1.530000e-04
60,3.908762,,1.830000e-04
70,3.700424,,2.130000e-04
80,3.565402,,2.430000e-04
90,3.487464,,2.730000e-04
100,3.328457,,3.000000e-04
110,3.257049,,2.999815e-04
0,,9.731248,
0,9.754180,,3.000000e-06
0,,9.670518,
0,9.697924,,3.000000e-06
10,6.201705,,3.300000e-05
20,5.649462,,6.300000e-05
30,4.968544,,9.300000e-05
40,4.629527,,1.230000e-04
50,4.172250,,1.530000e-04
60,3.816137,,1.830000e-04
70,3.739602,,2.130000e-04
80,3.533408,,2.430000e-04
90,3.449767,,2.730000e-04
100,3.390471,,3.000000e-04
110,3.251245,,2.999815e-04
120,3.182625,,2.999262e-04
130,3.001810,,2.998339e-04
140,2.931818,,2.997048e-04
150,2.883698,,2.995389e-04
160,2.688262,,2.993362e-04
170,2.703605,,2.990968e-04
180,2.601957,,2.988206e-04
190,2.461533,,2.985080e-04
200,2.470106,,2.981588e-04
200,,2.786215,
210,2.504360,,2.977732e-04
220,2.567152,,2.973513e-04
230,2.535731,,2.968932e-04
240,2.490883,,2.963991e-04
250,2.338779,,2.958690e-04
260,2.387771,,2.953032e-04
270,2.354379,,2.947017e-04
280,2.255768,,2.940648e-04
290,2.228324,,2.933926e-04
300,2.259185,,2.926853e-04
310,2.269897,,2.919431e-04
320,2.280517,,2.911662e-04
330,2.124843,,2.903548e-04
340,2.283829,,2.895091e-04
350,2.217051,,2.886294e-04
360,2.069483,,2.877159e-04
370,2.061933,,2.867688e-04
380,2.192903,,2.857885e-04
390,2.176141,,2.847751e-04
400,2.164300,,2.837290e-04
400,,2.440442,
410,2.067129,,2.826504e-04
420,2.058493,,2.815396e-04
430,2.162184,,2.803970e-04
440,2.141427,,2.792229e-04
450,2.017635,,2.780175e-04
460,2.168801,,2.767812e-04
470,2.035353,,2.755143e-04
480,2.033385,,2.742173e-04
490,2.027109,,2.728904e-04
500,2.044241,,2.715340e-04
510,2.078607,,2.701484e-04
520,2.053474,,2.687341e-04
530,1.967953,,2.672915e-04
540,1.992921,,2.658209e-04
550,1.921069,,2.643227e-04
560,1.977289,,2.627974e-04
570,1.912478,,2.612453e-04
580,1.932832,,2.596670e-04
590,1.992460,,2.580627e-04
600,1.866631,,2.564330e-04
600,,2.304268,
610,2.047336,,2.547783e-04
620,1.875090,,2.530991e-04
630,1.927973,,2.513958e-04
640,2.013682,,2.496688e-04
650,1.878958,,2.479187e-04
660,1.895575,,2.461460e-04
670,2.021525,,2.443510e-04
680,1.852751,,2.425344e-04
690,1.840067,,2.406965e-04
700,1.839823,,2.388380e-04
710,1.929836,,2.369593e-04
720,1.846913,,2.350609e-04
730,1.845725,,2.331433e-04
740,1.863783,,2.312072e-04
750,1.906421,,2.292529e-04
